Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
x ** 3 - 3 * x ** 2 + 2,-1,4,0.1,1,regula_falsi,-0.7215415460013366,3,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.05,1,regula_falsi,-0.7215415460013366,3,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,1,regula_falsi,-0.7299774348062598,4,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.005,1,regula_falsi,-0.7316436470414389,5,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,1,regula_falsi,-0.7319709241877715,6,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.0001,1,regula_falsi,-0.7320351375628718,7,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,1,regula_falsi,-0.7320502046470796,9,4.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-06,1,regula_falsi,-0.7320506893042669,10,4.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.1,2,regula_falsi,-0.7215415460013366,3,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.05,2,regula_falsi,-0.7299774348062598,4,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,2,regula_falsi,-0.7316436470414389,5,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.005,2,regula_falsi,-0.7316436470414389,5,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,2,regula_falsi,-0.7319709241877715,6,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.0001,2,regula_falsi,-0.7320351375628718,7,1.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,2,regula_falsi,-0.7320502046470796,9,1.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-06,2,regula_falsi,-0.7320506893042669,10,2.002,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.1,3,regula_falsi,-0.7320507843709859,11,1.0219999999999998,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.05,3,regula_falsi,-0.7320508030185546,12,1.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,3,regula_falsi,-0.7320508066763206,13,1.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.005,3,regula_falsi,-0.7320508066763206,13,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,3,regula_falsi,-0.7320508073938001,14,4.002000000000001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.0001,3,regula_falsi,-0.7320508075621411,16,4.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,3,regula_falsi,-0.732050807567556,17,1.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-06,3,regula_falsi,-0.7320508075688265,19,3.002,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.1,4,regula_falsi,-0.68,2,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.05,4,regula_falsi,-0.7215415460013366,3,1.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,4,regula_falsi,-0.7299774348062598,4,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.005,4,regula_falsi,-0.7299774348062598,4,1.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,4,regula_falsi,-0.7316436470414389,5,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.0001,4,regula_falsi,-0.7319709241877715,6,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,4,regula_falsi,-0.7320477338327908,8,4.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-06,4,regula_falsi,-0.7320502046470796,9,1.001,Yes,Yes
