Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
x ** 3 - 3 * x ** 2 + 2,-1,4,0.1,1,newton_raphson,-0.7337566137191999,2,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.05,1,newton_raphson,-0.7337566137191999,2,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,1,newton_raphson,-0.7320533217291385,3,1.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.005,1,newton_raphson,-0.7320533217291385,3,5.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,1,newton_raphson,-0.7320508075743501,4,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.0001,1,newton_raphson,-0.7320508075743501,4,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,1,newton_raphson,-0.7320508075743501,4,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-06,1,newton_raphson,-0.7320508075688773,5,1.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.1,2,newton_raphson,-0.7337566137191999,2,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.05,2,newton_raphson,-0.7337566137191999,2,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,2,newton_raphson,-0.7320533217291385,3,1.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.005,2,newton_raphson,-0.7320533217291385,3,4.001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,2,newton_raphson,-0.7320533217291385,3,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.0001,2,newton_raphson,-0.7320533217291385,3,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,2,newton_raphson,-0.7320508075743501,4,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-06,2,newton_raphson,-0.7320508075743501,4,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.1,3,newton_raphson,-0.7320508075688773,5,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.05,3,newton_raphson,-0.7320508075688773,5,1.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,3,newton_raphson,-0.7320508075688773,5,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.005,3,newton_raphson,-0.7320508075688773,5,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,3,newton_raphson,-0.7320508075688773,5,0.9990000000000001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.0001,3,newton_raphson,-0.7320508075688773,5,1.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,3,newton_raphson,-0.7320508075688773,5,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-06,3,newton_raphson,-0.7320508075688773,6,0.9990000000000001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.1,4,newton_raphson,-0.7777777777430486,1,0.9990000000000001,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.05,4,newton_raphson,-0.7777777777430486,1,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,4,newton_raphson,-0.7337566137191999,2,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.005,4,newton_raphson,-0.7337566137191999,2,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,4,newton_raphson,-0.7320533217291385,3,2.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.0001,4,newton_raphson,-0.7320533217291385,3,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,4,newton_raphson,-0.7320533217291385,3,0.0,Yes,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-06,4,newton_raphson,-0.7320508075743501,4,0.0,Yes,Yes
